,Position1,Position2,Position3,Position4,Position5
e,2.824858757062147,7.909604519774012,8.192090395480225,12.146892655367232,20.33898305084746
a,7.909604519774012,13.27683615819209,11.864406779661017,8.47457627118644,2.5423728813559325
o,1.1299435028248588,14.124293785310735,14.124293785310735,4.80225988700565,3.1073446327683616
r,3.389830508474576,10.16949152542373,5.649717514124294,8.192090395480225,9.887005649717514
t,8.192090395480225,3.672316384180791,3.672316384180791,7.627118644067797,12.994350282485875
l,3.672316384180791,11.581920903954803,2.5423728813559325,6.779661016949152,6.779661016949152
i,2.824858757062147,6.497175141242938,12.146892655367232,6.214689265536723,0.5649717514124294
n,1.4124293785310735,4.80225988700565,6.497175141242938,7.344632768361582,3.954802259887006
s,14.124293785310735,1.1299435028248588,2.2598870056497176,5.649717514124294,0.847457627118644
c,9.03954802259887,1.4124293785310735,2.5423728813559325,5.367231638418079,1.4124293785310735
h,3.1073446327683616,9.322033898305085,0.5649717514124294,1.1299435028248588,5.367231638418079
p,6.497175141242938,3.1073446327683616,3.954802259887006,2.2598870056497176,2.2598870056497176
u,2.2598870056497176,4.80225988700565,7.627118644067797,2.824858757062147,0.2824858757062147
y,0.5649717514124294,0.5649717514124294,2.2598870056497176,0.0,13.559322033898304
m,5.649717514124294,1.694915254237288,1.977401129943503,4.23728813559322,1.977401129943503
d,3.389830508474576,0.5649717514124294,3.389830508474576,1.977401129943503,5.649717514124294
g,4.80225988700565,0.5649717514124294,2.5423728813559325,4.519774011299435,1.977401129943503
k,0.847457627118644,0.2824858757062147,1.1299435028248588,3.1073446327683616,4.519774011299435
f,6.214689265536723,0.0,1.1299435028248588,1.1299435028248588,0.847457627118644
b,5.649717514124294,0.2824858757062147,1.977401129943503,0.5649717514124294,0.0
w,3.1073446327683616,1.694915254237288,1.4124293785310735,1.4124293785310735,0.847457627118644
v,1.694915254237288,0.2824858757062147,2.2598870056497176,2.5423728813559325,0.0
x,0.0,1.4124293785310735,0.0,0.847457627118644,0.0
z,0.2824858757062147,0.0,0.0,0.847457627118644,0.2824858757062147
q,0.847457627118644,0.5649717514124294,0.0,0.0,0.0
j,0.5649717514124294,0.2824858757062147,0.2824858757062147,0.0,0.0
