class,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-color,has-ring,ring-type,habitat,season
p,x,g,o,f,e,c,w,w,t,g,d,w
p,x,g,o,f,e,c,w,w,t,g,d,u
p,x,g,o,f,e,c,w,w,t,g,d,w
p,f,h,e,f,e,c,w,w,t,p,d,w
p,x,h,o,f,e,c,w,w,t,p,d,w
p,x,g,o,f,e,c,w,w,t,p,d,u
p,f,h,o,f,e,c,w,w,t,g,d,w
p,x,h,e,f,e,c,w,w,t,p,d,u
p,f,g,o,f,e,c,w,w,t,p,d,a
p,f,g,e,f,e,c,w,w,t,p,d,w
p,f,h,e,f,e,c,w,w,t,p,d,a
p,x,h,o,f,e,c,w,w,t,p,d,u
p,x,h,o,f,e,c,w,w,t,g,d,u
p,x,h,o,f,e,c,w,w,t,p,d,u
p,x,h,e,f,e,c,w,w,t,g,d,a
p,f,h,e,f,e,c,w,w,t,p,d,a
p,x,g,e,f,e,c,w,w,t,p,d,a
p,x,h,o,f,e,c,w,w,t,p,d,a
p,x,g,o,f,e,c,w,w,t,p,d,w
p,x,h,e,f,e,c,w,w,t,p,d,u
p,f,g,e,f,e,c,w,w,t,g,d,w
p,x,g,e,f,e,c,w,w,t,g,d,u
p,x,h,o,f,e,c,w,w,t,g,d,w
p,x,g,e,f,e,c,w,w,t,p,d,w
p,f,g,o,f,e,c,w,w,t,p,d,u
p,x,g,o,f,e,c,w,w,t,p,d,w
p,f,h,e,f,e,c,w,w,t,g,d,u
p,f,g,o,f,e,c,w,w,t,p,d,u
p,x,h,e,f,e,c,w,w,t,p,d,a
p,f,g,o,f,e,c,w,w,t,g,d,w
p,x,g,o,f,e,c,w,w,t,g,d,a
p,f,g,o,f,e,c,w,w,t,p,d,u
p,f,h,o,f,e,c,w,w,t,g,d,a
p,f,h,o,f,e,c,w,w,t,p,d,a
p,f,h,e,f,e,c,w,w,t,p,d,u
p,f,g,e,f,e,c,w,w,t,p,d,u
p,x,g,e,f,e,c,w,w,t,g,d,w
p,x,g,e,f,e,c,w,w,t,g,d,u
p,f,g,o,f,e,c,w,w,t,p,d,a
p,x,g,e,f,e,c,w,w,t,g,d,w
p,f,g,e,f,e,c,w,w,t,p,d,w
p,f,h,e,f,e,c,w,w,t,p,d,w
p,f,g,o,f,e,c,w,w,t,p,d,w
p,f,g,o,f,e,c,w,w,t,g,d,a
p,f,h,o,f,e,c,w,w,t,g,d,w
p,x,g,e,f,e,c,w,w,t,g,d,a
p,f,g,e,f,e,c,w,w,t,g,d,w
p,f,g,o,f,e,c,w,w,t,g,d,w
p,f,g,o,f,e,c,w,w,t,g,d,u
p,x,g,o,f,e,c,w,w,t,g,d,w
p,f,h,o,f,e,c,w,w,t,p,d,w
p,f,h,e,f,e,c,w,w,t,g,d,w
p,x,g,e,f,e,c,w,w,t,p,d,u
p,f,h,o,f,e,c,w,w,t,g,d,a
p,x,g,o,f,e,c,w,w,t,g,d,w
p,x,h,o,f,e,c,w,w,t,g,d,w
p,f,h,o,f,e,c,w,w,t,g,d,u
p,x,h,e,f,e,c,w,w,t,p,d,a
p,f,h,o,f,e,c,w,w,t,p,d,u
p,x,h,e,f,e,c,w,w,t,g,d,u
p,x,g,o,f,e,c,w,w,t,p,d,a
p,x,h,o,f,e,c,w,w,t,g,d,a
p,x,g,e,f,e,c,w,w,t,g,d,u
p,x,g,e,f,e,c,w,w,t,g,d,a
p,x,h,e,f,e,c,w,w,t,p,d,w
p,x,h,o,f,e,c,w,w,t,p,d,u
p,x,h,o,f,e,c,w,w,t,g,d,w
p,f,g,o,f,e,c,w,w,t,p,d,w
p,x,h,e,f,e,c,w,w,t,p,d,a
p,f,h,o,f,e,c,w,w,t,g,d,w
p,f,h,e,f,e,c,w,w,t,g,d,u
p,f,g,o,f,e,c,w,w,t,g,d,u
p,x,h,e,f,e,c,w,w,t,p,d,u
p,f,h,e,f,e,c,w,w,t,g,d,u
p,f,g,o,f,e,c,w,w,t,p,d,u
p,x,g,o,f,e,c,w,w,t,p,d,w
p,f,g,o,f,e,c,w,w,t,g,d,u
p,f,g,e,f,e,c,w,w,t,p,d,a
p,x,h,e,f,e,c,w,w,t,p,d,a
p,x,h,o,f,e,c,w,w,t,p,d,w
p,f,h,e,f,e,c,w,w,t,p,d,u
p,f,g,o,f,e,c,w,w,t,g,d,u
p,x,g,e,f,e,c,w,w,t,p,d,w
p,f,g,o,f,e,c,w,w,t,g,d,w
p,x,h,o,f,e,c,w,w,t,p,d,a
p,f,g,e,f,e,c,w,w,t,p,d,a
p,f,g,e,f,e,c,w,w,t,p,d,a
p,x,g,e,f,e,c,w,w,t,g,d,w
p,x,h,e,f,e,c,w,w,t,p,d,w
p,x,h,o,f,e,c,w,w,t,p,d,u
p,f,g,o,f,e,c,w,w,t,p,d,a
p,f,g,e,f,e,c,w,w,t,p,d,u
p,f,g,o,f,e,c,w,w,t,p,d,a
p,f,g,o,f,e,c,w,w,t,p,d,u
p,f,h,e,f,e,c,w,w,t,p,d,a
p,x,h,e,f,e,c,w,w,t,g,d,u
p,f,h,o,f,e,c,w,w,t,p,d,u
